Job Title,Job Description,category_group_name,certificate_group_name
PRODUCT MANAGER,"Oversees product development from conception to launch. Responsibilities include defining product vision, gathering requirements, and coordinating cross-functional teams.","Project Management, Leadership & Business Strategy","Agile, Scrum & Product Management Certifications"
Programmer,Writes code to develop software applications based on specifications provided by stakeholders. Collaborates with other developers on coding best practices.,"Programming, Embedded Systems & Robotics","Azure, AI & Developer Certifications"
Programmer Analyst,"Analyzes business requirements to develop software solutions. Responsibilities include coding, testing, debugging, and providing technical support.","Big Data, Data Engineering & Analytics","Azure, AI & Developer Certifications"
Prometheus Engineer,Implements Prometheus monitoring solutions to track application performance metrics. Responsible for configuring alerts/dashboards based on metrics collected.,"DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
Puppet Engineer,Utilizes Puppet for configuration management tasks across environments. Responsibilities include writing manifests/scripts to automate system configurations.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
PyTest Engineer,Uses PyTest framework to write unit tests for Python applications. Responsible for ensuring code quality through automated testing practices.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
Python Developer,"Develops software applications using Python programming language. Responsibilities include writing code, debugging issues, and collaborating with other developers.",Full Stack Development & Blockchain,"Azure, AI & Developer Certifications"
QA Engineer,Implements testing strategies to ensure software quality through manual/automated testing methods while collaborating with development teams on quality standards.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
React Developer,Develops user interfaces using React.js framework. Responsibilities include implementing responsive designs and optimizing application performance.,Full Stack Development & Blockchain,"Frontend, Mobile & UI/UX Certifications"
Robotics Engineer,Designs robotic systems by developing software/hardware components that enable robots to perform tasks autonomously or semi-autonomously.,"Programming, Embedded Systems & Robotics",Software Development & Specialized IT Certifications
RUBY ON RAILS DEVELOPER,Develops web applications using Ruby on Rails framework while focusing on back-end logic/integrating front-end components.,Full Stack Development & Blockchain,"DevOps, CI/CD & Cloud Automation Certifications"
Salesforce Developer,Customizes Salesforce platform by developing applications/components using Apex/Visualforce while ensuring alignment with business processes.,Full Stack Development & Blockchain,Software Development & Specialized IT Certifications
Search Engine Optimization,No description available,"Big Data, Data Engineering & Analytics","DevOps, Automation & Collaboration Tool Certifications"
SECURITY SPECIALIST,Protects organizational data by implementing security measures. Responsibilities include conducting risk assessments and responding to security incidents.,Cybersecurity & Network Engineering,Cybersecurity & Information Security Certifications
Selenium Engineer,"Designs and develops automated test scripts using Selenium. Responsibilities include creating test plans, executing tests, and reporting defects.","Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
Senior Ansible Development Engineer,Leads development efforts for Ansible-based automation solutions. Responsibilities include mentoring junior engineers and designing complex playbooks.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
Senior Cloud Architect,Designs and implements cloud solutions at a senior level. Responsibilities include cloud strategy development and providing guidance on cloud best practices.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
Senior DevOps Architect,Leads DevOps initiatives at an architectural level by designing CI/CD pipelines and promoting automation across development teams.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
Senior DevOps Engineer,Drives DevOps initiatives at a senior level. Responsibilities include mentoring team members and implementing automation strategies.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
Senior DevSecOps Architect,Integrates security into DevOps practices at an architectural level by designing secure CI/CD pipelines and implementing security best practices.,"DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
Senior SRE Architect,Leads SRE efforts at an architectural level by designing scalable/reliable systems while improving incident response strategies.,"DevOps, Kubernetes & Cloud Security","Cloud, Big Data & AI Certifications"
Senior SRE Engineer,Drives site reliability efforts by implementing monitoring solutions and automating incident response. Responsible for improving service availability.,"DevOps, Kubernetes & Cloud Security","Cloud, Big Data & AI Certifications"
Sharepoint Developer,Develops applications on SharePoint platform using technologies like .NET and JavaScript. Responsibilities include customizing SharePoint sites and building web parts.,Full Stack Development & Blockchain,"Azure, AI & Developer Certifications"
Software Developer,"Develops software applications based on specifications provided by stakeholders. Responsibilities include coding, testing, debugging, and collaborating on projects.","Programming, Embedded Systems & Robotics","Azure, AI & Developer Certifications"
Software Engineer,"Designs, develops, and tests software applications to meet business needs. Requires strong problem-solving skills and knowledge of software development methodologies.","Programming, Embedded Systems & Robotics","Azure, AI & Developer Certifications"
SonarQube Engineer,Manages SonarQube instance to measure/track code quality. Responsible for configuring quality profiles/gates while providing feedback to development teams.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
Splunk Engineer,"Implements Splunk solutions for log analysis, security monitoring, and operational intelligence. Responsible for creating dashboards/alerts and managing data ingestion.","Monitoring, Logging & Observability","Data Science, Analytics & Splunk Certifications"
Splunk Enterprise Security Engineer,Manages Splunk Enterprise Security environment to detect/respond to security incidents. Requires expertise in threat detection techniques.,"Monitoring, Logging & Observability","Data Science, Analytics & Splunk Certifications"
SQL Developer,"Writes SQL code for database applications. Responsibilities include creating stored procedures, optimizing queries, and designing database schemas.","Big Data, Data Engineering & Analytics","Azure, AI & Developer Certifications"
SRE Architect,Designs Site Reliability Engineering strategies to improve system reliability while reducing operational overheads through automation.,"DevOps, Kubernetes & Cloud Security","Cloud, Big Data & AI Certifications"
SRE Engineer,"Implements Site Reliability Engineering practices by monitoring systems, responding to incidents, and automating operational tasks.","DevOps, Kubernetes & Cloud Security","Cloud, Big Data & AI Certifications"
SYSTEMS ADMINISTRATOR,"Manages computer systems within an organization. Responsibilities include configuring servers, troubleshooting issues, and ensuring system security.",System Administration & IT Support,Software Development & Specialized IT Certifications
SYSTEMS ENGINEER,"Designs and implements IT systems that meet business requirements. Responsibilities include system integration, testing, and deployment.",Cloud Infrastructure & DevOps Automation,"Azure, AI & Developer Certifications"
TeamCity Engineer,Manages TeamCity CI/CD server by configuring build configurations/pipelines and integrating with source control systems.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
Tech Sales Engineer,Supports sales efforts by providing technical expertise during presentations/demonstrations while answering questions about technical aspects.,"Project Management, Leadership & Business Strategy","Azure, AI & Developer Certifications"
TECHNICAL ACCOUNT MANAGER,Manages relationships with technical customers while providing support/guidance on their technology needs. Acts as a liaison between customer/engineering teams.,"Project Management, Leadership & Business Strategy","Azure, AI & Developer Certifications"
TECHNICAL LEAD,Leads technical teams on projects by providing guidance/mentorship while driving technical direction/decisions within projects.,"Project Management, Leadership & Business Strategy","Cloud, Big Data & AI Certifications"
Terraform Engineer,Writes Terraform scripts to automate infrastructure provisioning across cloud platforms. Requires expertise in Infrastructure as Code (IaC) practices.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
TFS Engineer,Manages Team Foundation Server (TFS) to support software development processes. Responsibilities include configuring build pipelines and managing version control.,"CI/CD, Version Control & Build Automation","Azure, AI & Developer Certifications"
UDeploy Engineer,Manages deployment processes using UrbanCode Deploy. Responsibilities include configuring deployment projects and automating release workflows.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
UI DESIGNER,Designs user interfaces that are visually appealing while intuitive to use. Responsibilities include creating mockups/prototypes and conducting user research.,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
UI Developer,"Develops user interfaces using HTML5, CSS3, JavaScript while focusing on responsive design principles. Collaborates with UI designers to implement designs.",Full Stack Development & Blockchain,"Frontend, Mobile & UI/UX Certifications"
Unity Developer,Develops interactive content with Unity engine including 3D simulations while working with assets created by graphic designers,"Animation, Multimedia & Game Development","Animation, Game Development & Creative Design Certifications"
UX DESIGNER,Conducts user research studies to gather insights on user behavior. Create wireframes/mockups based on data collected from research initiatives,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
Vault Engineer,Implement secret management to the cloud application.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
Web Designer (UI/UX Designer),"Create front end web application using HTML, Css, JS.","Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
Web Developer,"Develops and maintains websites and web applications. Responsibilities include writing code, debugging, and ensuring optimal performance across different browsers and devices.",Full Stack Development & Blockchain,"Frontend, Mobile & UI/UX Certifications"
WordPress Developer,"Creates and customizes WordPress websites. Responsibilities include developing themes/plugins, managing content, and ensuring website functionality.",Full Stack Development & Blockchain,"DevOps, Automation & Collaboration Tool Certifications"
XL Deploy Engineer,"Manages deployment processes using XL Deploy. Responsibilities include configuring deployment pipelines, automating releases, and ensuring application availability.","CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
Zabbix Engineer,"Implements Zabbix monitoring solutions to track system performance and availability. Responsible for configuring alerts, dashboards, and monitoring metrics.","Monitoring, Logging & Observability",Software Development & Specialized IT Certifications
ACCESSIBILITY SPECIALIST,"Ensures digital products meet accessibility standards, enhancing usability for all users.",Full Stack Development & Blockchain,Software Development & Specialized IT Certifications
ADMIN BIG DATA,"Administers and manages large datasets, ensuring data integrity and accessibility.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
AGILE PROJECT MANAGER,"Leads projects using agile frameworks, focusing on iterative development and team collaboration.","Project Management, Leadership & Business Strategy","Project Management, Agile & Business Analysis Certifications"
ANDROID DEVELOPER,"Develops mobile applications for Android devices, integrating features and ensuring user experience.","Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
ANSIBLE AUTOMATION ENGINEER,"Designs and implements automation solutions using Ansible, streamlining IT processes.",Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
APPLICATION SECURITY ENGINEER,Develops secure applications by integrating security measures and testing vulnerabilities.,Cybersecurity & Network Engineering,Cybersecurity & Information Security Certifications
ARTIFACTORY ADMINISTRATOR,"Manages artifact repositories, ensuring efficient deployment and version control.","CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
ARTIFACTORY ENGINEER,Configures and optimizes Artifactory for efficient software deployment and management.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING LEADER,"Leads AI/ML projects, developing strategies and overseeing teams to integrate AI solutions.",Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
ARTIFICIAL INTELLIGENCE / MACHINE LEARNING SR.LEADER,"Leads senior AI/ML projects, sets strategic direction, and manages teams.","Project Management, Leadership & Business Strategy","Azure, AI & Developer Certifications"
ARTIFICIAL INTELLIGENCE ARCHITECT,"Designs and implements AI systems architecture, ensuring scalability and efficiency.",Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
ARTIFICIAL INTELLIGENCE RESEARCHER,"Conducts research to advance AI technologies, develops new algorithms, and publishes findings.",Artificial Intelligence & Machine Learning,"Frontend, Mobile & UI/UX Certifications"
AWS DEVOPS ENGINEER,"Implements DevOps practices on AWS, automating processes and ensuring system reliability.","CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
AWS SOLUTIONS ARCHITECT,"Designs scalable and cost-effective solutions on AWS, ensuring alignment with business needs.",Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
AZURE DEVOPS ENGINEER,"Implements DevOps practices on Azure, automating processes and ensuring system reliability.","CI/CD, Version Control & Build Automation","Azure, AI & Developer Certifications"
BAMBOO ENGINEER,Configures and manages Bamboo for continuous integration and delivery.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
BIG DATA ARCHITECT,"Designs and oversees big data solutions, ensuring scalability and performance.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
BIG DATA ENGINEER,"Develops and maintains big data infrastructure, ensuring data quality and accessibility.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
BIG DATA SPECIALIST,Analyzes and interprets large datasets to provide insights and support decision-making.,"Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
BITBUCKET ENGINEER,Manages and configures Bitbucket for efficient version control and collaboration.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
BLOCKCHAIN DEVELOPER,"Develops blockchain applications and smart contracts, ensuring security and functionality.",Full Stack Development & Blockchain,Software Development & Specialized IT Certifications
BUILD AND RELEASE ENGINEER,"Manages build and release processes, ensuring smooth and reliable software deployments.","CI/CD, Version Control & Build Automation","Cloud, Big Data & AI Certifications"
BUILD ENGINEER,"Develops and maintains build systems, automating software compilation and testing.","CI/CD, Version Control & Build Automation","Cloud, Big Data & AI Certifications"
BUSINESS SYSTEMS ANALYST,"Analyzes business processes and system requirements, providing solutions to improve efficiency.","Programming, Embedded Systems & Robotics","Project Management, Agile & Business Analysis Certifications"
C# DEVELOPER,"Develops applications using C# and the .NET framework, focusing on functionality and performance.",Full Stack Development & Blockchain,"Azure, AI & Developer Certifications"
CHEF INSPEC ENGINEER,Automates compliance and infrastructure testing using Chef Inspec.,"CI/CD, Version Control & Build Automation",Software Development & Specialized IT Certifications
CHEF OPERATIONS ENGINEER,Manages infrastructure and automates processes using Chef.,"CI/CD, Version Control & Build Automation",Software Development & Specialized IT Certifications
CLOUD ADMINISTRATOR,"Manages and maintains cloud infrastructure, ensuring availability and performance.",Cloud Infrastructure & DevOps Automation,"Azure, AI & Developer Certifications"
CLOUD ARCHITECT,Designs and oversees the implementation of cloud computing strategies.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
CLOUD AUTOMATION ENGINEER,Automates cloud infrastructure and deployment processes.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
CLOUD NETWORK ENGINEER,Designs and manages cloud network infrastructure.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
CLOUD SECURITY ENGINEER,Implements and manages security measures for cloud environments.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
CNC PROGRAMMER,Develops programs for CNC machines used in manufacturing.,"Animation, Multimedia & Game Development","Animation, Game Development & Creative Design Certifications"
CODER,Writes and tests code for software applications.,"Programming, Embedded Systems & Robotics","Azure, AI & Developer Certifications"
COMPUTER GRAPHICS ANIMATOR,Creates animations and visual effects for various media.,"Animation, Multimedia & Game Development","Animation, Game Development & Creative Design Certifications"
COMPUTER HARDWARE ENGINEER,Designs and develops computer hardware components and systems.,"Programming, Embedded Systems & Robotics",Networking & Infrastructure Certifications
COMPUTER NETWORK ARCHITECT,Designs and plans computer networks.,Cybersecurity & Network Engineering,Networking & Infrastructure Certifications
COMPUTER PROGRAMMER,Writes and tests code to create software programs.,"Programming, Embedded Systems & Robotics","Azure, AI & Developer Certifications"
COMPUTER RESEARCH SCIENTIST,Conducts research in computer science and develops new technologies.,"Programming, Embedded Systems & Robotics","Frontend, Mobile & UI/UX Certifications"
COMPUTER SYSTEMS ANALYST,Analyzes computer systems and recommends improvements.,"Project Management, Leadership & Business Strategy",Cybersecurity & Information Security Certifications
CONFLUENCE ENGINEER,Manages and configures Confluence for team collaboration.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
CONSUL ENGINEER,Manages and deploys Consul for service discovery.,"Monitoring, Logging & Observability","DevOps, Automation & Collaboration Tool Certifications"
COVERAGE.PY ENGINEER,Implements and manages code coverage tools for Python projects.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
DATA ANALYST,Analyzes data to identify trends and insights.,"Big Data, Data Engineering & Analytics","Data Science, Analytics & Splunk Certifications"
DATA ARCHITECT,Designs and manages data storage and retrieval systems.,"Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
DATA ENGINEER,Develops and maintains data pipelines and infrastructure.,"Big Data, Data Engineering & Analytics","Azure, AI & Developer Certifications"
DATA MODELER,Creates and maintains data models.,"Big Data, Data Engineering & Analytics","Data Science, Analytics & Splunk Certifications"
DATA SCIENTIST,Applies machine learning and statistical techniques to analyze data.,Artificial Intelligence & Machine Learning,"Cloud, Big Data & AI Certifications"
DATABASE ADMINISTRATOR,Manages and maintains databases.,Database Administration & SQL Development,"Azure, AI & Developer Certifications"
DATADOG ENGINEER,Implements and manages Datadog for system monitoring.,"Monitoring, Logging & Observability",Software Development & Specialized IT Certifications
DEVOPS ARCHITECT,Designs and implements DevOps strategies and infrastructure.,Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
DEVOPS ENGINEER,Automates software development and deployment processes.,"CI/CD, Version Control & Build Automation","Kubernetes, DevSecOps & Cloud Native Certifications"
DEVOPS MANAGER,Manages DevOps teams and projects.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
DEVSECOPS ARCHITECT,Designs and implements DevSecOps strategies and infrastructure.,Cloud Infrastructure & DevOps Automation,"DevOps, CI/CD & Cloud Automation Certifications"
DEVSECOPS ENGINEER,Integrates security practices into DevOps processes.,"CI/CD, Version Control & Build Automation","Kubernetes, DevSecOps & Cloud Native Certifications"
DIRECTOR OF ENGINEERING,Leads and manages engineering teams and projects.,"Project Management, Leadership & Business Strategy","Project Management, Agile & Business Analysis Certifications"
DOCKER ENGINEER,Manages and deploys Docker containers.,"DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
ELK ENGINEER,Manages and configures the ELK stack for log analysis and monitoring.,"Monitoring, Logging & Observability","DevOps, CI/CD & Cloud Automation Certifications"
EMBEDDED SOFTWARE ENGINEER,Develops software for embedded systems.,"Programming, Embedded Systems & Robotics",Software Development & Specialized IT Certifications
ENTRY LEVEL DEVELOPER,Entry-level position focused on learning and developing software skills.,"Programming, Embedded Systems & Robotics",Software Development & Specialized IT Certifications
ENTRY LEVEL NETWORK ENGINEER,Entry-level position focused on learning and assisting with network operations.,"Programming, Embedded Systems & Robotics",Networking & Infrastructure Certifications
ENTRY LEVEL PROGRAMMER,Entry-level position focused on learning and developing software skills.,"Programming, Embedded Systems & Robotics","Azure, AI & Developer Certifications"
ENTRY LEVEL WEB DEVELOPER,Entry-level position focused on learning and developing web development skills.,Full Stack Development & Blockchain,"Frontend, Mobile & UI/UX Certifications"
ENVOY ENGINEER,Configures and manages Envoy proxy for service mesh architectures.,"Monitoring, Logging & Observability","Kubernetes, DevSecOps & Cloud Native Certifications"
FALCO ENGINEER,Implements and manages Falco for runtime security monitoring.,"DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
FLUENTD ENGINEER,Configures and manages Fluentd for log aggregation and analysis.,"Monitoring, Logging & Observability","Kubernetes, DevSecOps & Cloud Native Certifications"
FORTIFY ENGINEER,Implements and manages Fortify for static code analysis and application security.,"Programming, Embedded Systems & Robotics",Software Development & Specialized IT Certifications
FRAMEWORKS SPECIALIST,Specializes in designing and implementing software frameworks.,"Programming, Embedded Systems & Robotics","Cloud, Big Data & AI Certifications"
FRONT END DEVELOPER,Develops the user interface and front-end components of web applications.,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
FULL STACK DEVELOPER,Develops both the front-end and back-end components of web applications.,Full Stack Development & Blockchain,"DevOps, CI/CD & Cloud Automation Certifications"
FULL STACK JAVA DEVELOPER/PROGRAMMER/ENGINEER,Develops full-stack applications using Java technologies.,Full Stack Development & Blockchain,"Java, Oracle & Enterprise Development Certifications"
FULL STACK PYTHON DEVELOPER/PROGRAMMER/ENGINEER,Develops full-stack applications using Python technologies.,Full Stack Development & Blockchain,"DevOps, CI/CD & Cloud Automation Certifications"
GAME DEVELOPER,Develops video games for various platforms.,"Animation, Multimedia & Game Development","Animation, Game Development & Creative Design Certifications"
GCP DEVOPS ENGINEER,"Implements DevOps practices on Google Cloud Platform, automating processes and ensuring system reliability.",Cloud Infrastructure & DevOps Automation,"Cloud, Big Data & AI Certifications"
GERRIT ADMINISTRATOR,Administers and manages Gerrit for code review processes.,"CI/CD, Version Control & Build Automation","Cloud, Big Data & AI Certifications"
GIT ENGINEER,Manages and configures Git for efficient version control.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
GITHUB ENGINEER,Manages and configures GitHub for efficient collaboration and CI/CD.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
GITLAB ENGINEER,Manages and configures GitLab for efficient DevOps workflows.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
GRADLE ENGINEER,Configures and manages Gradle for build automation.,"CI/CD, Version Control & Build Automation","Java, Oracle & Enterprise Development Certifications"
GRAFANA ENGINEER,Configures and manages Grafana for data visualization and monitoring.,"Monitoring, Logging & Observability","Cloud, Big Data & AI Certifications"
GROOVY ENGINEER,Develops automation scripts and applications using Groovy.,"CI/CD, Version Control & Build Automation","Java, Oracle & Enterprise Development Certifications"
INFORMATION ARCHITECT,Designs information structures to enhance usability and findability.,"Mobile Development, UI/UX & Accessibility",Software Development & Specialized IT Certifications
INFORMATION SECURITY ANALYST,Protects computer systems and networks from security threats.,Cybersecurity & Network Engineering,Cybersecurity & Information Security Certifications
INTERACTION DESIGNER,Designs interactive user interfaces and experiences.,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
IOS DEVELOPER,"Develops mobile applications for iOS devices, integrating features and ensuring user experience.","Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
ISTIO ENGINEER,Configures and manages Istio for service mesh architectures.,"Monitoring, Logging & Observability","Kubernetes, DevSecOps & Cloud Native Certifications"
IT MANAGER,"Manages IT teams and projects, ensuring efficient operations.","Project Management, Leadership & Business Strategy",Cybersecurity & Information Security Certifications
JACOCO ENGINEER,Implements and manages code coverage tools for Java projects.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
JAVA DEVELOPER,"Develops applications using Java and related technologies, focusing on functionality and performance.","Software Testing, QA & Java Development","Java, Oracle & Enterprise Development Certifications"
JENKINS ENGINEER,Configures and manages Jenkins for continuous integration and delivery.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
JIRA ADMINISTRATOR,Administers and configures Jira for project management and issue tracking.,"CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
JUNIOR FRONT END DEVELOPER,Entry-level position focused on learning and developing front-end web development skills.,Full Stack Development & Blockchain,"Frontend, Mobile & UI/UX Certifications"
JUNIOR IOS DEVELOPER,Entry-level position focused on learning and developing iOS app development skills.,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
JUNIT ENGINEER,Implements and manages JUnit for Java testing and test automation.,"Software Testing, QA & Java Development","Java, Oracle & Enterprise Development Certifications"
KUBERNETES OPERATIONS ENGINEER,"Manages and operates Kubernetes clusters, ensuring system reliability and scalability.","DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
MACHINE LEARNING ARCHITECT,Designs and implements scalable machine learning infrastructure and solutions.,Artificial Intelligence & Machine Learning,"Cloud, Big Data & AI Certifications"
MACHINE LEARNING ENGINEER,Develops and deploys machine learning models for various applications.,Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
MAVEN ENGINEER,Configures and manages Maven for build automation in Java projects.,"CI/CD, Version Control & Build Automation","Java, Oracle & Enterprise Development Certifications"
MOBILE APP DEVELOPER,Develops mobile applications for iOS and Android platforms.,"Mobile Development, UI/UX & Accessibility","Frontend, Mobile & UI/UX Certifications"
MULESOFT DEVELOPER,Develops and integrates applications using the MuleSoft Anypoint Platform.,"Software Testing, QA & Java Development",Software Development & Specialized IT Certifications
NAGIOS ENGINEER,Configures and manages Nagios for system and network monitoring.,"Monitoring, Logging & Observability","DevOps, Automation & Collaboration Tool Certifications"
NETWORK AND SYSTEMS ADMINISTRATOR,Manages and maintains network and server infrastructure.,System Administration & IT Support,Networking & Infrastructure Certifications
NETWORK ENGINEER,"Designs, implements, and manages network infrastructure.",Cybersecurity & Network Engineering,Networking & Infrastructure Certifications
NEW RELIC ENGINEER,Configures and manages New Relic for application performance monitoring.,"Monitoring, Logging & Observability","DevOps, Automation & Collaboration Tool Certifications"
NEXUS ENGINEER,Manages and configures Nexus Repository Manager for artifact storage and retrieval.,"CI/CD, Version Control & Build Automation",Software Development & Specialized IT Certifications
NOMAD ENGINEER,Configures and manages Nomad for container orchestration and infrastructure automation.,"DevOps, Kubernetes & Cloud Security","DevOps, Automation & Collaboration Tool Certifications"
NOTARY ENGINEER,Implements and manages Notary for ensuring container image security.,"DevOps, Kubernetes & Cloud Security","Kubernetes, DevSecOps & Cloud Native Certifications"
OCTOPUS DEPLOY ENGINEER,Configures and manages Octopus Deploy for automating application deployments.,"CI/CD, Version Control & Build Automation",Software Development & Specialized IT Certifications
OPENSHIFT ENGINEER,Manages and configures OpenShift for container orchestration and application deployment.,"DevOps, Kubernetes & Cloud Security","DevOps, Automation & Collaboration Tool Certifications"
OPENSTACK ENGINEER,Implements and manages OpenStack cloud infrastructure.,Cloud Infrastructure & DevOps Automation,"DevOps, Automation & Collaboration Tool Certifications"
OPERATIONS ENGINEER,"Manages and maintains systems and infrastructure, ensuring reliable operation.",System Administration & IT Support,"DevOps, CI/CD & Cloud Automation Certifications"
ORACLE DEVELOPER,Develops database applications using Oracle technologies.,Database Administration & SQL Development,"Java, Oracle & Enterprise Development Certifications"
ORACLE SQL DEVELOPER,Develops and optimizes SQL queries and database schemas in Oracle environments.,Database Administration & SQL Development,"Java, Oracle & Enterprise Development Certifications"
PACKER ENGINEER,Creates machine images using Packer for consistent infrastructure deployment.,Cloud Infrastructure & DevOps Automation,"DevOps, Automation & Collaboration Tool Certifications"
PHP DEVELOPER,Develops web applications using PHP and related technologies.,Full Stack Development & Blockchain,"DevOps, CI/CD & Cloud Automation Certifications"
POWERSHELL ENGINEER,Develops automation scripts and tools using PowerShell for Windows environments.,"CI/CD, Version Control & Build Automation","Azure, AI & Developer Certifications"
PRINCIPLE ENGINEER IN ARTIFICIAL INTELLIGENCE,"Leads and designs AI/ML solutions, providing technical guidance and strategic direction.",Artificial Intelligence & Machine Learning,"Cloud, Big Data & AI Certifications"
PRINCIPLE ENGINEER IN BIG DATA,"Leads and designs big data solutions, providing technical expertise and guidance.","Big Data, Data Engineering & Analytics","Cloud, Big Data & AI Certifications"
PRINCIPLE ENGINEER IN DATA ANALYSIS,"Leads data analysis initiatives, providing expertise and guidance on analytical techniques.","Project Management, Leadership & Business Strategy","Azure, AI & Developer Certifications"
PRINCIPLE ENGINEER IN MACHINE LEARNING,"Leads machine learning initiatives, providing expertise and guidance on model development and deployment.",Artificial Intelligence & Machine Learning,"Azure, AI & Developer Certifications"
PRODUCT MANAGER,"Defines and manages product strategy, gathering requirements and prioritizing features.","Project Management, Leadership & Business Strategy","Agile, Scrum & Product Management Certifications"
PRODUCTION SUPPORT ENGINEER,"Provides technical support for production systems, resolving incidents and ensuring stability.",System Administration & IT Support,"DevOps, CI/CD & Cloud Automation Certifications"
PUPPET OPERATIONS ENGINEER,Manages and automates infrastructure configuration using Puppet.,"CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
SENIOR BUILD AND RELEASE ENGINEER,"Manages build and release processes, ensuring smooth and reliable software deployments.","CI/CD, Version Control & Build Automation","DevOps, Automation & Collaboration Tool Certifications"
SENIOR BUILD ENGINEER,"Develops and maintains build systems, automating software compilation and testing.","CI/CD, Version Control & Build Automation","DevOps, CI/CD & Cloud Automation Certifications"
SENIOR DEVOPS ENGINEER,"Leads DevOps initiatives, designing and implementing automation solutions.",Cloud Infrastructure & DevOps Automation,"Kubernetes, DevSecOps & Cloud Native Certifications"
